model,dataset,accelerator,execution_time,total_cycles,total_compute_cycles,total_stall_cycles,total_energy,total_dram_access,dram_bandwidth,dense_ops,num_ops,mem_counter_total,total_activation,total_compression_ratio,dram_energy,sram_energy,core_energy,buffer_area,num_scatter
llava_vid,videomme,focus,53.347753984,26673876992.0,17563763896.0,9110113096.0,89699.50958854146,389639082816.0,22.18425874562895,89621908160512,15400270190592,mem_counter,45298669632,tensor(1.8875),38956.11549994368,24315.319753857773,26428.07433474,0.807253521281,1
llava_vid,videomme,focus,37.103187968,18551593984.0,17563763896.0,987830088.0,77678.97819226867,389639082816.0,22.18425874562895,89621908160512,15400270190592,mem_counter,45298669632,tensor(1.8875),38956.11549994368,20313.50949329127,18409.35319903372,0.891077630292,2
llava_vid,videomme,focus,35.865318374,17932659187.0,17563763896.0,368895291.0,78412.39774404399,389639082816.0,22.18425874562895,89621908160512,15400270190592,mem_counter,45298669632,tensor(1.8875),38956.11549994368,21633.36210845644,17822.920135643875,1.163592979896,3
llava_vid,videomme,focus,35.461868736,17730934368.0,17563763896.0,167170472.0,78849.85161569694,389639082816.0,22.18425874562895,89621908160512,15400270190592,mem_counter,45298669632,tensor(1.8875),38956.11549994368,22243.862402250925,17649.873713502333,1.5654708193200002,4
llava_vid,videomme,focus,35.270858454,17635429227.0,17563763896.0,71665331.0,79816.50938089161,389639082816.0,22.18425874562895,89621908160512,15400270190592,mem_counter,45298669632,tensor(1.8875),38956.115499943684,23278.29256947089,17582.101311477036,2.0661540747319997,5
