model,dataset,accelerator,execution_time,total_cycles,total_compute_cycles,total_stall_cycles,total_energy,total_dram_access,dram_bandwidth,dense_ops,num_ops,mem_counter_total,total_activation,total_compression_ratio,dram_energy,sram_energy,core_energy
llava_vid,videomme,focus,60.212970496,30106485248.0,29612072112.0,494413136.0,110981.90745266824,626711450688.0,21.164052563347344,89621908160512,25412927819776,mem_counter,45298669632,tensor(1.),62658.61083978625,18447.64706007588,29875.64955280612
llava_vid,mlvu,focus,60.212970496,30106485248.0,29612072112.0,494413136.0,110981.90745266824,626711450688.0,21.164052563347344,89621908160512,25412927819776,mem_counter,46742475840,tensor(1.),62658.61083978625,18447.64706007588,29875.64955280612
llava_vid,mvbench,focus,11.314428608,5657214304.0,5635854336.0,21359968.0,21455.0699911419,123082269496.0,21.83915022604303,16000598548480,4742120628224,mem_counter,2901838208,tensor(1.),12305.76530421008,3535.4659874225936,5613.838699509225
llava_onevision,videomme,focus,27.333018944,13666509472.0,13518957984.0,147551488.0,51169.483694915936,291332845848.0,21.54994831649001,44874254516224,11510472132096,mem_counter,12370394392,tensor(1.),29127.45792788304,8480.301632439638,13561.724134593256
llava_onevision,mlvu,focus,27.333018944,13666509472.0,13518957984.0,147551488.0,51169.483694915936,291332845848.0,21.54994831649001,44874254516224,11510472132096,mem_counter,12883251480,tensor(1.),29127.45792788304,8480.301632439638,13561.724134593256
llava_onevision,mvbench,focus,30.599506112,15299753056.0,15151603040.0,148150016.0,57347.92059427161,326922062456.0,21.576730963247304,44874254516224,12802099928576,mem_counter,12459088248,tensor(1.),32685.667804350884,9479.807652925025,15182.445136995704
minicpm_v,videomme,focus,58.35017888,29175089440.0,28557681600.0,617407840.0,107065.41650386756,602557117232.0,21.09965107363617,99383739678720,24644654533632,mem_counter,44722154544,tensor(1.),60243.660580855365,17870.36087967622,28951.395043335968
minicpm_v,mlvu,focus,58.35017888,29175089440.0,28557681600.0,617407840.0,107065.41650386756,602557117232.0,21.09965107363617,99383739678720,24644654533632,mem_counter,46486498352,tensor(1.),60243.660580855365,17870.36087967622,28951.395043335968
minicpm_v,mvbench,focus,2.55843168,1279215840.0,1276721824.0,2494016.0,4793.269295654992,28087686440.0,21.99984829271627,2639383240704,699194574848,mem_counter,276490784,tensor(1.),2808.2068902712003,715.65470722755,1269.4076981562412
