model,dataset,accelerator,execution_time,total_cycles,total_compute_cycles,total_stall_cycles,total_energy,total_dram_access,dram_bandwidth,dense_ops,num_ops,mem_counter_total,total_activation,dram_energy,sram_energy,core_energy
llava_vid,videomme,cmc,83.690858496,41845429248,41845429248,0,213839.48779373223,1442353947704.0244,34.4686139830424,89621908160512,37087125999495.6,mem_counter,101062572820,144206.5476914484,22626.404408951566,47006.53569333229
llava_vid,mlvu,cmc,111.985104896,55992552448,55992552448,0,288124.233238737,1949887524176.5896,34.82405139482506,89621908160512,51571389429610.4,mem_counter,114683747273,194949.75466717547,30275.950285261584,62898.52828629996
llava_vid,mvbench,cmc,17.149391616,8574695808,8574695808,0,41880.71821574101,276175081824.64465,32.208149187867335,16000598548480,7520135792733.609,mem_counter,9436846815,27611.984680827976,4636.457040163416,9632.27649474962
llava_onevision,videomme,cmc,50.8420864,25421043200,25421043200,0,129539.34238027844,872548738791.5896,34.32387616538056,44874254516224,23358635931968.406,mem_counter,49845720905,87237.42290438314,13745.51090231962,28556.40857357568
llava_onevision,mlvu,cmc,61.77694208,30888471040,30888471040,0,157897.6976226223,1065190016515.9768,34.48503537570945,44874254516224,28955057127276.0,mem_counter,52848440825,106497.69785126738,16701.82502330604,34698.1747480489
llava_onevision,mvbench,cmc,37.025071104,18512535552,18512535552,0,92609.15126074923,618157059205.8224,33.39126925479637,44874254516224,16291944123496.582,mem_counter,42519993307,61803.34277939813,10009.984926959862,20795.823554391245
minicpm_v,videomme,cmc,94.484067328,47242033664,47242033664,0,244847.9194761932,1662680064891.087,35.19492993711031,99383739678720,42539977197074.0,mem_counter,112286982146,166234.75288781087,25544.42332155205,53068.74326683024
minicpm_v,mlvu,cmc,137.107475456,68553737728,68553737728,0,356468.90080136724,2424404538770.799,35.36502339799597,99383739678720,64366439139934.39,mem_counter,132500035704,242391.9657863045,37067.95751540928,77008.97749965344
minicpm_v,mvbench,cmc,4.27093408,2135467040,2135467040,0,9959.41785849733,64071726317.13861,30.003612847678795,2639383240704,1576484669739.854,mem_counter,779144329,6405.8911971875195,1154.6766688105154,2398.849992499296
