m_tile_size,block_size,vector_size,accuracy
1024,2x2x2,4096,75.2356
1024,2x2x2,2048,75.3133
1024,2x2x2,512,74.7499
1024,2x2x2,128,74.5459
1024,2x2x2,32,74.2788
1024,2x2x2,8,70.9276
