m_tile_size,block_size,vector_size,accuracy
1024,1x1x1,32,74.0
1024,1x2x2,32,71.4
1024,1x3x3,32,71.8
1024,2x1x1,32,75.0
1024,2x2x2,32,72.2
1024,2x3x3,32,71.2
1024,3x1x1,32,74.6
1024,3x2x2,32,71.4
1024,3x3x3,32,69.4
